tradingsymbol,instrument_token,avg_volume
CAMLINFINE,1591297,384966
SIKKO,1591809,0
DTIL,1594113,5396
SELMC,1603073,0
MEDICAMEQ,1607169,18082
GULPOLY,1609217,80537
HEALTHY,1612033,161836
APOLSINHOT,1613313,870
NATIONALUM,1629185,7394876
CCHHL,1634561,36229
LAMBODHARA,1640193,36310
MANORG,1644033,4112
TECHNOE,1649921,196663
TECH,1654273,101380
GRPLTD,1675009,2694
NYKAA,1675521,6066159
LAXMICOT,1681409,14547
FINOPB,1684225,262751
SONATSOFTW,1688577,1412357
GENUSPAPER,1689601,116983
EQUAL50ADD,1691137,8262
SJS,1700609,172442
POLICYBZR,1703937,1091821
SIGACHI,1705729,2692462
PAYTM,1716481,3207545
IVC,1718017,249202
MOLDTKPAC,1718529,61388
SAPPHIRE,1719809,547582
JINDALSTEL,1723649,1642570
NIPPOBATRY,1736193,3478
SBC,1738753,8292131
STEELCAS,1741569,122592
LATENTVIEW,1745409,412770
FOCUS,1750017,45529
SMLT,1751809,19500
GREENLAM,1753089,65375
DHRUV,1755649,10847
BAJAJHCARE,1756929,131053
VISHNU,1768449,104347
RPPL,1769729,84351
TARSONS,1777409,56939
GANECOS,1777665,51112
MENONBE,1782017,43564
GOCOLORS,1782785,95949
DMCC,1785089,36042
ICDSLTD,1786113,0
BSOFT,1790465,1052420
SHIVALIK,1796097,34178
ASIANENE,1799681,122379
HESTERBIO,1804289,9088
ACCELYA,1805569,12870
MAHKTECH,1810945,1499498
STARHEALTH,1813249,779057
SEJALLTD,1815297,0
TEGA,1818881,145149
JMA,1819905,12448
ANANDRATHI,1829121,139390
MICEL,1835265,3382626
RATEGAIN,1837313,687594
SHRIRAMPPS,1843201,796633
JETFREIGHT,1846017,59859
MAPMYINDIA,1850113,54982
HCLTECH,1850625,2295298
METROBRAND,1853953,54817
MEDPLUS,1857025,172970
JTLIND,1865473,1584640
DCMSRIND,1875201,120413
DATAPATTNS,1883649,284369
STAR,1887745,363285
HPAL,1888257,101631
SUPRIYA,1891841,152644
RAJESHEXPO,1894657,329452
GLENMARK,1895937,831389
NILASPACES,1897217,0
ALPHA,1897473,1049030
MANAKCOAT,1897729,281770
MANAKALUCO,1899521,0
