instrument_token,tradingsymbol,avg_volume
2615553,ADANIENSOL,1598740
2618113,MANORAMA,191331
2620929,CONFIPET,457415
2622209,SYNGENE,992534
2630913,NGLFINE,2637
2632961,AYMSYNTEX,32444
2636033,PPL,82723
2636801,RAMASTEEL,13161214
2639361,AURUM,138038
2647809,RADHIKAJWE,1420320
2649601,CSLFINANCE,11891
2661633,JISLJALEQS,5965196
2663937,STEELCITY,18499
2664193,KSHITIJPOL,178215
2666241,MUTHOOTCAP,31182
2666753,DYCL,380534
2672641,LUPIN,888066
2674433,UNITDSPR,1086716
2675969,SATIN,168262
2676993,ARVSMART,98688
2681089,POWERMECH,64447
2684161,RAMRAT,54304
2690049,MOHEALTH,47823
2690817,UTINIFTETF,84450
2691073,CONS,7444
2691841,UTISENSETF,1520
2695681,SHARDAMOTR,81381
2702593,NAVKARCORP,818278
2707457,NIFTYBEES,3995259
2707713,KRBL,2111248
2707969,MPSLTD,23928
2708225,MARKSANS,1735271
2708481,TCI,21953
2709761,MOM30IETF,833126
2710529,SHREEPUSHK,486426
2713345,GUJGASLTD,267541
2714625,BHARTIARTL,6630619
2718465,HDFCNEXT50,66637
2722049,HDFCNIF100,61045
2722305,ASAL,32384
2723073,OLECTRA,1395426
2729217,PONNIERODE,16402
2730497,PNB,13501177
2733057,MNC,83901
2736641,NIFTYQLITY,76663
2737409,MOMENTUM,50325
2739201,SURANAT&P,421725
2745089,INFRAIETF,127560
2745857,INDIAMART,91510
2747649,SPORTKING,271023
2748929,OFSS,178658
2752769,UNIONBANK,10075624
2753281,APTECHT,59494
2756609,OAL,10889
2762497,NUCLEUS,38503
2763009,SYRMA,1523123
2763265,CANBK,20737536
2770433,MOQUALITY,1228
2771201,MOVALUE,63585
2781441,GVPTECH,273343
2782977,GRMOVER,747642
2788609,DBOL,86772
2791681,GENESYS,147151
2796801,GODREJIND,150535
2798593,RADAAN,38027
2800385,JUNIORBEES,244044
2800641,DIVISLAB,384955
2801921,TMB,67067
2813441,RADICO,327085
2814209,INDORAMA,121468
2815745,MARUTI,471681
2817537,LIQUIDBEES,2878131
2822913,INFOBEAN,201052
2824193,SANGINITA,73300
2825473,BANKIETF,362671
2825985,DCMNVL,21879
2827521,SATIA,85406
2828801,SIRCA,581050
2830849,SECURKLOUD,40309
2831361,KSOLVES,83049
2834433,AGRITECH,8682
2836993,LIBAS,59586
2851841,SUMIT,45342
2854145,SHRENIK,1006211
2855681,CREATIVE,14702
2857473,HARSHA,71483
2863105,IDFCFIRSTB,16611472
2865921,INDIGO,1179706
2870273,SHK,671154
2872321,VARDHACRLC,45557
2873089,UCOBANK,6614104
2873857,BAGFILMS,130090
2875649,SUVEN,138045
2876417,JSL,1088318
2877185,NSIL,6456
2877697,HDFCGROWTH,22047
2880769,WELSPUNLIV,4755587
2881281,HDFCQUAL,25542
2881537,JAIBALAJI,1134619
2882561,HDFCVALUE,5801
2883073,IGL,2422272
2883841,TVSELECT,39170
2885377,DREDGECORP,30442
2886401,TVTODAY,84622
2889473,UPL,2809255
2891009,UNIENTER,7711
2892033,SIL,51165
2893057,LUXIND,25421
2895105,BALAXI,208057
2897665,LICNETFN50,2717
2899201,MUKANDLTD,302506
2903809,AFFLE,308764
2905857,PETRONET,1658613
2906881,PTC,1385218
2907905,DHANBANK,607441
2909185,VAIBHAVGBL,369287
2910465,TTKHLTCARE,4185
2911489,BIOCON,3007561
2911745,TIPSFILMS,7994
2912513,MAHABANK,6507294
2914817,PVTBANIETF,950973
2916865,ZOTA,94801
2918145,SALZERELEC,88597
2919169,POONAWALLA,3150247
2920193,XPROINDIA,32698
2921217,RKFORGE,471273
2924289,DATAMATICS,761670
2925313,NDTV,78365
2926593,KRITINUT,17947
2927361,SPANDANA,235715
2928385,BANKBEES,418669
2928897,LICNETFSEN,172
2929921,PILANIINVS,3111
2931713,CCL,240117
2932993,NV20,14007
2936577,EXCELINDUS,19279
2939649,LT,1625095
2941697,APARINDS,111217
2942977,AMBICAAGAR,55503
2946817,CENTEXT,346973
2949633,NIITLTD,393136
2951681,EMIL,2884747
2952193,ULTRACEMCO,243018
2953217,TCS,2666980
2953729,HDFCMOMENT,205027
2955009,COFORGE,1928536
2956033,HDFCLOWVOL,52223
2956545,TEXINFRA,107491
2960897,DCI,64920
2962177,PPLPHARMA,4080457
2962689,FORCEMOT,160364
2964481,WESTLIFE,132996
2964737,GULFPETRO,47025
2964993,TRACXN,292492
2967297,HDFCNIFTY,54314
2967809,HDFCSENSEX,25221
2968577,LINCOLN,162985
2971137,GUFICBIO,86388
2974209,ASTRAMICRO,397049
2976257,WELENT,213087
2976513,NARMADA,304695
2977281,NTPC,8364904
